"word","total"
"bad",94
"hurt",47
"damn",46
"hell",45
"shit",39
"hit",37
"words",29
"money",24
"bitch",23
"feeling",21
"frustrated",18
"crazy",17
"hate",17
"struggle",15
"musical",14
"broken",13
"dislike",13
"hurting",13
"cash",12
"honest",12
"annoying",11
"busted",11
"challenge",11
"death",11
"hot",11
"killing",11
"stone",11
"horrible",10
"ill",10
"shot",10
"bout",9
"terrible",9
"curse",8
"dying",8
"lonely",8
"sore",8
"disturbed",7
"mad",7
"deserve",6
"fight",6
"frustration",6
"grab",6
"selfish",6
"tension",6
"asshole",5
"beast",5
"insane",5
"lose",5
"losing",5
"lying",5
"shout",5
"tree",5
"vote",5
"bang",4
"devil",4
"discord",4
"jealous",4
"kick",4
"lie",4
"punch",4
"slash",4
"awful",3
"blame",3
"criticism",3
"disappointed",3
"disliked",3
"evil",3
"harry",3
"limited",3
"offense",3
"patter",3
"rape",3
"row",3
"ruined",3
"shoot",3
"slayer",3
"soldier",3
"sting",3
"stolen",3
"strike",3
"victim",3
"wasted",3
"youth",3
"anxiety",2
"arrogant",2
"bear",2
"cracked",2
"dabbling",2
"disgusting",2
"eruption",2
"failing",2
"fighting",2
"gun",2
"hood",2
"injury",2
"insult",2
"kicking",2
"loss",2
"opera",2
"painful",2
"poison",2
"remove",2
"revolution",2
"revolver",2
"rocket",2
"sabotage",2
"savage",2
"screwed",2
"shooting",2
"upset",2
"aggressive",1
"angry",1
"antagonist",1
"assassin",1
"barb",1
"battery",1
"beating",1
"bee",1
"belt",1
"betrayal",1
"blast",1
"bloody",1
"brutal",1
"buffet",1
"cancer",1
"cannon",1
"complaint",1
"complicate",1
"confusion",1
"court",1
"criminal",1
"cross",1
"cruel",1
"cursed",1
"cutting",1
"damage",1
"deadly",1
"delay",1
"depressed",1
"destruction",1
"difficulty",1
"disagree",1
"disaster",1
"disease",1
"disgrace",1
"dispute",1
"disrespect",1
"distracted",1
"dominate",1
"dreadful",1
"duel",1
"elbow",1
"elf",1
"endless",1
"epidemic",1
"execution",1
"exile",1
"fear",1
"force",1
"forearm",1
"gang",1
"guilty",1
"hating",1
"homeless",1
"incase",1
"jerk",1
"lace",1
"lava",1
"madman",1
"massacre",1
"mighty",1
"miserable",1
"moody",1
"murder",1
"offended",1
"orchestra",1
"playful",1
"powerful",1
"prison",1
"rating",1
"rejection",1
"rejects",1
"resisting",1
"revenge",1
"ridiculous",1
"rob",1
"scorpion",1
"scream",1
"screaming",1
"sentence",1
"shaky",1
"sharpen",1
"shock",1
"shove",1
"skid",1
"slaughter",1
"smack",1
"smash",1
"spank",1
"spine",1
"spite",1
"stab",1
"stalemate",1
"stripped",1
"sue",1
"suicidal",1
"suicide",1
"torture",1
"tripping",1
"ungrateful",1
"unkind",1
