"","textOriginal","hard_marker","easy_marker","authorDisplayName"
"1","Free HD courses at ""MartyMusic"" right HERE: http://www.martymusic.com",NA,NA,"Marty Music"
"2","Beautiful,fantastic",NA,NA,"Rossoblupersempre"
"3","6:00",NA,NA,"Forbidden Tuna"
"4","I found it really easy until you started playing lol",NA,NA,"zcar"
"5","15:43 when i realised that this part is not so intimidating and i can actualy play it. Thanks buddy you rock",NA,NA,"Something From The Shed"
"6","Ok index finger on the 7th fret then both the E strings at the same time and I have no shit, replayed it 37 times and it goes too fast for me to see what the hell he’s doing. I’m 60 and about half blind. I’d have to live to be 150 years old to get just the intro down. It’s frustrating as hell and makes me feel like I am back in school and getting tests back with big red F’s at the top.",NA,NA,"Autumn Hayes"
"7","Thank you! Very patient and transparent! I will practice with your lessons",NA,NA,"Ed Fenders"
"8","Finally memorized it, now gotta get it down clean.. then to part 2",NA,NA,"Against The Grain"
"9","Love your vids",NA,NA,"Archie Evans"
"10","Lol i play it with a pick",NA,NA,"Mr. Nice Guy"
"11","Can you do a tutorial of the song whaling by dave dobbyn",NA,NA,"Charlie Anderson"
"12","Me watching this like 👁👄👁",NA,NA,"Zaynah Goyal"
"13","Hi Marty, what beautiful and wonderful acoustic guitar are you using in this video?",NA,NA,"א. ד"
"14","My hand is legitimately to small for some of this song",NA,NA,"Nuggeh"
"15","Where's part 2 ?",NA,NA,"Aizaq Mustafa"
"16","Marty is the man, with the master plan",NA,NA,"Hazem"
"17","How do you play the 17:20 to the end...part ?  Great lesson overall tho.",NA,NA,"Derek Roller"
"18","You are great🤟🏼",NA,NA,"alicecooper97"
"19","My guitar cant do this",NA,NA,"abslen char"
"20","Thanks Marty",NA,NA,"Tommi Tervonen"
"21","🙌🏻🔥🙏🏻",NA,NA,"Angelo Sings"
"22","Love it Marty, so relaxed, great lesson ;0)",NA,NA,"Tom Sheehy"
"23","Me : I can do this         Hammer down slide to five: I’m about to end this man’s whole career",NA,NA,"Jedyz Games"
"24","Not gonna lie, the first part itself took me about 2 weeks to learn and get down",NA,NA,"Br1ttany_xoxo"
"25","I came back here to give a like, finally nailed up to speed Marty!!!!",NA,NA,"Shred kelvin"
"26","Just this song matters",NA,NA,"Blyacticos"
"27","I'm left handed but I'm mirroring you to be able to follow it.",NA,NA,"samantha jackson"
"28","Simplified version, completely broken down to understand the song better",NA,NA,"Srihari Jaagat"
"29","If I can give my 2 cents. I watch your videos all the time. I love the way you play. Now your teaching is good. But to me. You get way too deep into the picking. This picking will come once you learn the song. I find that maybe you should have done a more basic video of this song then use this video as the advanced version.  I just want to learn the song first and I’m struggling to follow along because of that.  Please. Do not take this as an insult. You are ten times the player I am. I’m just telling you about me.  Thanks. And love your videos. You are teaching me so much. Teaching the gift of music. What an honor that must be.",NA,NA,"King Eris"
"30","Thanks for your videos Marty!  They’re really easy to follow and they’re fun!  :)",NA,NA,"Nicole McClure"
